verb_root_ar,verb_root_translit,verb_meaning_en,tense,person_code,pronoun_ar,pronoun_translit,arabic,translit,english,audio_path
أروح,arūḥ,To Go,future,2sf,إنتِ,inti,حتروحي,ḥa-tirūḥi,You will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_2sf.mp3
أروح,arūḥ,To Go,future,3sm,هو,huwwa,حيروح,ḥa-yirūḥ,He will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_3sm.mp3
أروح,arūḥ,To Go,future,3sf,هي,hiyya,حتروح,ḥa-tirūḥ,She will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_3sf.mp3
أروح,arūḥ,To Go,future,1p,إحنا,iḥna,حنروح,ḥa-nirūḥ,We will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_1p.mp3
أروح,arūḥ,To Go,future,2p,أنتم,antum,حتروحوا,ḥa-tirūḥu,You (all) will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_2p.mp3
أروح,arūḥ,To Go,future,3p,هم,hum,حيروحوا,ḥa-yirūḥu,They will go,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\arūḥ_future_3p.mp3
أجي,ajī,To Come,past,1s,أنا,ana,جيت,jīt,I came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_1s.mp3
أجي,ajī,To Come,past,2sm,إنتَ,inta,جيت,jīt,You came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_2sm.mp3
أجي,ajī,To Come,past,2sf,إنتِ,inti,جيتي,jīti,You came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_2sf.mp3
أجي,ajī,To Come,past,3sm,هو,huwwa,جا,jā,He came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_3sm.mp3
أجي,ajī,To Come,past,3sf,هي,hiyya,جات,jāt,She came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_3sf.mp3
أجي,ajī,To Come,past,1p,إحنا,iḥna,جينا,jīna,We came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_1p.mp3
أجي,ajī,To Come,past,2p,أنتم,antum,جيتوا,jītu,You (all) came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_2p.mp3
أجي,ajī,To Come,past,3p,هم,hum,جو,jaw,They came,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_past_3p.mp3
أجي,ajī,To Come,present,1s,أنا,ana,أجي,ajī,I come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_1s.mp3
أجي,ajī,To Come,present,2sm,إنتَ,inta,تيجي,tījī,You come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_2sm.mp3
أجي,ajī,To Come,present,2sf,إنتِ,inti,تيجي,tījī,You come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_2sf.mp3
أجي,ajī,To Come,present,3sm,هو,huwwa,يجي,yījī,He comes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_3sm.mp3
أجي,ajī,To Come,present,3sf,هي,hiyya,تيجي,tījī,She comes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_3sf.mp3
أجي,ajī,To Come,present,1p,إحنا,iḥna,نيجي,nījī,We come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_1p.mp3
أجي,ajī,To Come,present,2p,أنتم,antum,تيجوا,tījū,You (all) come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_2p.mp3
أجي,ajī,To Come,present,3p,هم,hum,يجوا,yījū,They come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_present_3p.mp3
أجي,ajī,To Come,future,1s,أنا,ana,حجِي,ḥa-ajī,I will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_1s.mp3
أجي,ajī,To Come,future,2sm,إنتَ,inta,حتيجي,ḥa-tījī,You will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_2sm.mp3
أجي,ajī,To Come,future,2sf,إنتِ,inti,حتيجي,ḥa-tījī,You will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_2sf.mp3
أجي,ajī,To Come,future,3sm,هو,huwwa,حيجي,ḥa-yījī,He will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_3sm.mp3
أجي,ajī,To Come,future,3sf,هي,hiyya,حتيجي,ḥa-tījī,She will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_3sf.mp3
أجي,ajī,To Come,future,1p,إحنا,iḥna,حنيجي,ḥa-nījī,We will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_1p.mp3
أجي,ajī,To Come,future,2p,أنتم,antum,حتيجوا,ḥa-tījū,You (all) will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_2p.mp3
أجي,ajī,To Come,future,3p,هم,hum,حيجوا,ḥa-yījū,They will come,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ajī_future_3p.mp3
آخذ,ākhudh,To Take,past,1s,أنا,ana,أخذت,ʾakha<u>dh</u>t,I took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_1s.mp3
آخذ,ākhudh,To Take,past,2sm,إنتَ,inta,أخذت,ʾakha<u>dh</u>t,You took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_2sm.mp3
آخذ,ākhudh,To Take,past,2sf,إنتِ,inti,أخذتي,ʾakha<u>dh</u>ti,You took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_2sf.mp3
آخذ,ākhudh,To Take,past,3sm,هو,huwwa,أخذ,ʾakha<u>dh</u>,He took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_3sm.mp3
آخذ,ākhudh,To Take,past,3sf,هي,hiyya,أخذت,ʾakha<u>dh</u>at,She took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_3sf.mp3
آخذ,ākhudh,To Take,past,1p,إحنا,iḥna,أخذنا,ʾakha<u>dh</u>na,We took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_1p.mp3
آخذ,ākhudh,To Take,past,2p,أنتم,antum,أخذتوا,ʾakha<u>dh</u>tu,You (all) took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_2p.mp3
آخذ,ākhudh,To Take,past,3p,هم,hum,أخذوا,ʾakha<u>dh</u>u,They took,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_past_3p.mp3
آخذ,ākhudh,To Take,present,1s,أنا,ana,آخذ,ākhu<u>dh</u>,I take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_1s.mp3
آخذ,ākhudh,To Take,present,2sm,إنتَ,inta,تاخذ,tākhu<u>dh</u>,You take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_2sm.mp3
آخذ,ākhudh,To Take,present,2sf,إنتِ,inti,تاخذي,tākhu<u>dh</u>i,You take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_2sf.mp3
آخذ,ākhudh,To Take,present,3sm,هو,huwwa,ياخذ,yākhu<u>dh</u>,He takes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_3sm.mp3
آخذ,ākhudh,To Take,present,3sf,هي,hiyya,تاخذ,tākhu<u>dh</u>,She takes,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_3sf.mp3
آخذ,ākhudh,To Take,present,1p,إحنا,iḥna,ناخذ,nākhu<u>dh</u>,We take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_1p.mp3
آخذ,ākhudh,To Take,present,2p,أنتم,antum,تاخذوا,tākhu<u>dh</u>u,You (all) take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_2p.mp3
آخذ,ākhudh,To Take,present,3p,هم,hum,ياخذوا,yākhu<u>dh</u>u,They take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_present_3p.mp3
آخذ,ākhudh,To Take,future,1s,أنا,ana,حآخذ,ḥa-ākhu<u>dh</u>,I will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_1s.mp3
آخذ,ākhudh,To Take,future,2sm,إنتَ,inta,حتاخذ,ḥa-tākhu<u>dh</u>,You will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_2sm.mp3
آخذ,ākhudh,To Take,future,2sf,إنتِ,inti,حتاخذي,ḥa-tākhu<u>dh</u>i,You will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_2sf.mp3
آخذ,ākhudh,To Take,future,3sm,هو,huwwa,حياخذ,ḥa-yākhu<u>dh</u>,He will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_3sm.mp3
آخذ,ākhudh,To Take,future,3sf,هي,hiyya,حتاخذ,ḥa-tākhu<u>dh</u>,She will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_3sf.mp3
آخذ,ākhudh,To Take,future,1p,إحنا,iḥna,حناخذ,ḥa-nākhu<u>dh</u>,We will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_1p.mp3
آخذ,ākhudh,To Take,future,2p,أنتم,antum,حتاخذوا,ḥa-tākhu<u>dh</u>u,You (all) will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_2p.mp3
آخذ,ākhudh,To Take,future,3p,هم,hum,حياخذوا,ḥa-yākhu<u>dh</u>u,They will take,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ākhudh_future_3p.mp3
أعطي,aʿṭī,To Give,past,1s,أنا,ana,أعطيت,ʾaʿṭēt,I gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_1s.mp3
أعطي,aʿṭī,To Give,past,2sm,إنتَ,inta,أعطيت,ʾaʿṭēt,You gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_2sm.mp3
أعطي,aʿṭī,To Give,past,2sf,إنتِ,inti,أعطيتي,ʾaʿṭēti,You gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_2sf.mp3
أعطي,aʿṭī,To Give,past,3sm,هو,huwwa,أعطى,ʾaʿṭā,He gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_3sm.mp3
أعطي,aʿṭī,To Give,past,3sf,هي,hiyya,أعطت,ʾaʿṭat,She gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_3sf.mp3
أعطي,aʿṭī,To Give,past,1p,إحنا,iḥna,أعطينا,ʾaʿṭēna,We gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_1p.mp3
أعطي,aʿṭī,To Give,past,2p,أنتم,antum,أعطيتوا,ʾaʿṭētu,You (all) gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_2p.mp3
أعطي,aʿṭī,To Give,past,3p,هم,hum,أعطوا,ʾaʿṭaw,They gave,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_past_3p.mp3
أعطي,aʿṭī,To Give,present,1s,أنا,ana,أعطي,ʾaʿṭī,I give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_1s.mp3
أعطي,aʿṭī,To Give,present,2sm,إنتَ,inta,تعطي,tiʿṭī,You give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_2sm.mp3
أعطي,aʿṭī,To Give,present,2sf,إنتِ,inti,تعطي,tiʿṭī,You give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_2sf.mp3
أعطي,aʿṭī,To Give,present,3sm,هو,huwwa,يعطي,yiʿṭī,He gives,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_3sm.mp3
أعطي,aʿṭī,To Give,present,3sf,هي,hiyya,تعطي,tiʿṭī,She gives,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_3sf.mp3
أعطي,aʿṭī,To Give,present,1p,إحنا,iḥna,نعطي,niʿṭī,We give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_1p.mp3
أعطي,aʿṭī,To Give,present,2p,أنتم,antum,تعطوا,tiʿṭū,You (all) give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_2p.mp3
أعطي,aʿṭī,To Give,present,3p,هم,hum,يعطوا,yiʿṭū,They give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_present_3p.mp3
أعطي,aʿṭī,To Give,future,1s,أنا,ana,حأعطي,ḥa-ʾaʿṭī,I will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_1s.mp3
أعطي,aʿṭī,To Give,future,2sm,إنتَ,inta,حتتعطي,ḥa-tiʿṭī,You will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_2sm.mp3
أعطي,aʿṭī,To Give,future,2sf,إنتِ,inti,حتتعطي,ḥa-tiʿṭī,You will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_2sf.mp3
أعطي,aʿṭī,To Give,future,3sm,هو,huwwa,حيعطي,ḥa-yiʿṭī,He will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_3sm.mp3
أعطي,aʿṭī,To Give,future,3sf,هي,hiyya,حتتعطي,ḥa-tiʿṭī,She will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_3sf.mp3
أعطي,aʿṭī,To Give,future,1p,إحنا,iḥna,حنعطي,ḥa-niʿṭī,We will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_1p.mp3
أعطي,aʿṭī,To Give,future,2p,أنتم,antum,حتتعطوا,ḥa-tiʿṭū,You (all) will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_2p.mp3
أعطي,aʿṭī,To Give,future,3p,هم,hum,حيعطوا,ḥa-yiʿṭū,They will give,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\aʿṭī_future_3p.mp3
أشوف,ashūf,To See,past,1s,أنا,ana,شفت,shuft,I saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_1s.mp3
أشوف,ashūf,To See,past,2sm,إنتَ,inta,شفت,shuft,You saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_2sm.mp3
أشوف,ashūf,To See,past,2sf,إنتِ,inti,شفتي,shufti,You saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_2sf.mp3
أشوف,ashūf,To See,past,3sm,هو,huwwa,شاف,shāf,He saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_3sm.mp3
أشوف,ashūf,To See,past,3sf,هي,hiyya,شافت,shāfat,She saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_3sf.mp3
أشوف,ashūf,To See,past,1p,إحنا,iḥna,شفنا,shufna,We saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_1p.mp3
أشوف,ashūf,To See,past,2p,أنتم,antum,شفتوا,shuftu,You (all) saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_2p.mp3
أشوف,ashūf,To See,past,3p,هم,hum,شافوا,shāfu,They saw,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards_Flutter\saudi_arabic_flash_cards_flutter\assets\audio\conjugation\ashūf_past_3p.mp3
